date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:08:57	718085/718085	---MCZ	200	added ('OK')	text/html	etag:W/%22a80a81c3e92cf1fa6a02474716c2aa6f%22	https://www.centurypinesresort.com/activity-cameron-highlands/cactus-valley	C:/My%20Web%20Sites/ASSIGNMENT%20ICM561/Century%20Pines%20Resort/ASSIGNMENT%20ICM561/www.centurypinesresort.com/activity-cameron-highlands/cactus-valley.html	(from )
00:08:57	327/327	---MCZ	200	added ('OK')	text/plain	etag:W/%22298-Hu5OI67XNX50G2mb6mbfHYXeK0E%22	https://www.centurypinesresort.com/robots.txt		(from )
00:08:58	3888/3888	---M--	200	added ('OK')	image/png	date:Sun,%2024%20Nov%202024%2006:51:52%20GMT	https://static.wixstatic.com/media/3031f2_0071430966b0481baf429b2d0324b3f5~mv2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/3031f2_0071430966b0481baf429b2d0324b3f5~mv2.png	C:/My%20Web%20Sites/ASSIGNMENT%20ICM561/Century%20Pines%20Resort/ASSIGNMENT%20ICM561/static.wixstatic.com/media/3031f2_0071430966b0481baf429b2d0324b3f5_mv2.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/3031f2_0071430966b0481baf429b2d0324b3f5_mv2.2	(from https://www.centurypinesresort.com/activity-cameron-highlands/cactus-valley)
00:08:58	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/ASSIGNMENT%20ICM561/Century%20Pines%20Resort/ASSIGNMENT%20ICM561/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.centurypinesresort.com/activity-cameron-highlands/cactus-valley)
00:08:58	72067/72067	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Nov%202024%2005:59:39%20GMT	https://static.wixstatic.com/media/3031f2_0071430966b0481baf429b2d0324b3f5~mv2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/3031f2_0071430966b0481baf429b2d0324b3f5~mv2.png	C:/My%20Web%20Sites/ASSIGNMENT%20ICM561/Century%20Pines%20Resort/ASSIGNMENT%20ICM561/static.wixstatic.com/media/3031f2_0071430966b0481baf429b2d0324b3f5_mv2.png/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/3031f2_0071430966b0481baf429b2d0324b3f5_mv2	(from https://www.centurypinesresort.com/activity-cameron-highlands/cactus-valley)
00:08:58	64255/64255	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Dec%202024%2015:25:34%20GMT	https://static.wixstatic.com/media/3031f2_0071430966b0481baf429b2d0324b3f5~mv2.png/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/3031f2_0071430966b0481baf429b2d0324b3f5~mv2.png	C:/My%20Web%20Sites/ASSIGNMENT%20ICM561/Century%20Pines%20Resort/ASSIGNMENT%20ICM561/static.wixstatic.com/media/3031f2_0071430966b0481baf429b2d0324b3f5_mv2.png/v1/fill/w_180,h_180,lg_1,usm_0.66_1.00_0.01/3031f2_0071430966b0481baf429b2d0324b3f5_mv2	(from https://www.centurypinesresort.com/activity-cameron-highlands/cactus-valley)
00:08:58	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/ASSIGNMENT%20ICM561/Century%20Pines%20Resort/ASSIGNMENT%20ICM561/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.centurypinesresort.com/activity-cameron-highlands/cactus-valley)
00:08:59	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2013%20Dec%202024%2016:08:57%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/ASSIGNMENT%20ICM561/Century%20Pines%20Resort/ASSIGNMENT%20ICM561/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://www.centurypinesresort.com/activity-cameron-highlands/cactus-valley)
00:09:00	10515/10515	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Dec%202024%2016:09:00%20GMT	https://static.wixstatic.com/media/3031f2_4e646a14dde4480291a2b0c29c16017f~mv2.png/v1/fill/w_100,h_57,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/cuticutimalaysialogo.png	C:/My%20Web%20Sites/ASSIGNMENT%20ICM561/Century%20Pines%20Resort/ASSIGNMENT%20ICM561/static.wixstatic.com/media/3031f2_4e646a14dde4480291a2b0c29c16017f_mv2.png/v1/fill/w_100,h_57,al_c,q_85,usm_0.66_1.00_0.01,enc_avi/cuticutimalaysialogo.png	(from https://www.centurypinesresort.com/activity-cameron-highlands/cactus-valley)
00:09:00	9809/9809	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Dec%202024%2016:09:00%20GMT	https://static.wixstatic.com/media/3031f2_c7e6dd060bba41a18e0061f4f7b1ed4f~mv2.png/v1/fill/w_90,h_50,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/ThisPahang_Unlimited_TP%20(1).png	C:/My%20Web%20Sites/ASSIGNMENT%20ICM561/Century%20Pines%20Resort/ASSIGNMENT%20ICM561/static.wixstatic.com/media/3031f2_c7e6dd060bba41a18e0061f4f7b1ed4f_mv2.png/v1/fill/w_90,h_50,al_c,q_85,usm_0.66_1.00_0.01,enc_avif/ThisPahang_Unlimited_TP%20(1).9.de	(from https://www.centurypinesresort.com/activity-cameron-highlands/cactus-valley)
